repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
freeCodeCamp/freeCodeCamp,437970,4093,11.21,27794,0,0,TypeScript,20987,21160,0.9918
public-apis/public-apis,405910,3640,9.97,1872,0,18,Python,832,839,0.9917
EbookFoundation/free-programming-books,383860,4532,12.41,7336,0,0,Python,1228,1264,0.9715
kamranahmedse/developer-roadmap,350607,3281,8.98,4086,1,0,TypeScript,3083,3088,0.9984
donnemartin/system-design-primer,338171,3298,9.03,205,0,0,Python,116,360,0.3222
openclaw/openclaw,289301,105,0.29,2962,63,0,TypeScript,10620,16905,0.6282
vinta/awesome-python,286385,4272,11.7,641,0,5,Python,0,0,
facebook/react,243811,4672,12.79,12774,118,4,JavaScript,13579,14390,0.9436
TheAlgorithms/Python,218508,3523,9.65,3064,0,0,Python,1540,1704,0.9038
vuejs/vue,210001,4606,12.61,1136,249,515,TypeScript,9669,10028,0.9642
ossu/computer-science,202312,4327,11.85,305,0,5,HTML,655,669,0.9791
trekhleb/javascript-algorithms,195801,2907,7.96,304,0,19,JavaScript,234,372,0.629
tensorflow/tensorflow,194107,3775,10.34,42339,222,0,C++,40303,41201,0.9782
ohmyzsh/ohmyzsh,185247,6036,16.53,3516,0,1,Shell,4892,5034,0.9718
microsoft/vscode,182519,3839,10.51,43431,199,0,TypeScript,219093,232643,0.9418
Significant-Gravitas/AutoGPT,182304,1089,2.98,3989,94,0,Python,3513,3742,0.9388
jackfrued/Python-100-Days,179439,2930,8.02,13,0,12,Jupyter Notebook,188,711,0.2644
n8n-io/n8n,178320,2452,6.71,14163,550,0,TypeScript,7806,8257,0.9454
flutter/flutter,175474,4020,11.01,46967,7,0,Dart,100316,112492,0.8918
twbs/bootstrap,174046,5336,14.61,9123,94,0,MDX,22540,22848,0.9865
massgravel/Microsoft-Activation-Scripts,168204,2247,6.15,6,29,0,Batchfile,909,911,0.9978
avelino/awesome-go,166995,4264,11.67,3612,0,0,Go,713,727,0.9807
ollama/ollama,164622,986,2.7,3082,189,0,Go,7520,9530,0.7891
AUTOMATIC1111/stable-diffusion-webui,161612,1295,3.55,1884,27,7,Python,5487,7890,0.6954
huggingface/transformers,157653,2688,7.36,18770,244,0,Python,17614,18681,0.9429
Snailclimb/JavaGuide,154137,2863,7.84,1216,0,0,Java,1060,1133,0.9356
DigitalPlatDev/FreeDomain,151524,648,1.77,1,0,6,HTML,0,0,
f/prompts.chat,151123,1190,3.26,201,0,0,HTML,128,132,0.9697
yt-dlp/yt-dlp,150346,1960,5.37,3228,131,6,Python,9306,11140,0.8354
airbnb/javascript,148108,4875,13.35,813,0,13,JavaScript,1302,1404,0.9274
521xueweihan/HelloGitHub,145429,3596,9.85,17,63,9,Python,2681,2967,0.9036
langflow-ai/langflow,145418,1124,3.08,5807,285,0,Python,2825,3172,0.8906
ytdl-org/youtube-dl,139835,5608,15.35,1646,341,18,Python,23190,26819,0.8647
vercel/next.js,138265,3441,9.42,26172,1000,0,JavaScript,22270,24318,0.9158
yangshun/tech-interview-handbook,138051,3534,9.68,486,0,42,TypeScript,77,121,0.6364
Genymobile/scrcpy,136714,3030,8.3,123,50,11,C,3287,5962,0.5513
golang/go,133019,4220,11.55,1,0,0,Go,61020,70458,0.866
langgenius/dify,131772,1062,2.91,9766,158,0,TypeScript,16395,16781,0.977
microsoft/PowerToys,130347,2504,6.86,6366,127,0,C#,30197,38302,0.7884
langchain-ai/langchain,128821,1239,3.39,16069,1000,0,Python,8879,9128,0.9727
Chalarangelo/30-seconds-of-code,127007,3022,8.27,836,12,4,JavaScript,300,300,1.0
open-webui/open-webui,126404,884,2.42,3367,154,0,Python,7684,7837,0.9805
facebook/react-native,125532,4077,11.16,959,445,0,C++,26831,27582,0.9728
krahets/hello-algo,122878,1221,3.34,968,10,45,Java,274,282,0.9716
kubernetes/kubernetes,121058,4293,11.75,64041,784,0,Go,46809,48647,0.9622
electron/electron,120393,4714,12.91,24591,1000,0,C++,20747,21482,0.9658
ripienaar/free-for-dev,119313,4008,10.97,2901,0,0,HTML,0,0,
anomalyco/opencode,118948,312,0.85,2638,734,0,TypeScript,5213,10113,0.5155
excalidraw/excalidraw,118381,2258,6.18,3844,14,0,TypeScript,2564,4652,0.5512
nodejs/node,116194,4120,11.28,11908,486,0,JavaScript,18343,20097,0.9127
iptv-org/iptv,112644,2671,7.31,6827,0,0,TypeScript,21719,22113,0.9822
d3/d3,112500,5642,15.45,494,194,97,Shell,2229,2239,0.9955
mrdoob/three.js,111257,5829,15.96,15247,175,0,JavaScript,13068,13512,0.9671
rust-lang/rust,111117,5744,15.73,69626,147,0,Rust,50493,61643,0.8191
shadcn-ui/ui,109054,1160,3.18,1027,78,0,TypeScript,2960,3941,0.7511
rustdesk/rustdesk,108928,1988,5.44,3947,36,0,Rust,3949,4010,0.9848
axios/axios,108617,4220,11.55,1136,109,1,JavaScript,4758,4960,0.9593
microsoft/TypeScript,108072,4283,11.73,14857,215,0,TypeScript,37986,42965,0.8841
microsoft/generative-ai-for-beginners,107729,994,2.72,542,0,0,Jupyter Notebook,206,208,0.9904
godotengine/godot,107563,4447,12.18,41462,66,0,C++,48316,61333,0.7878
GrowingGit/GitHub-Chinese-Top-Charts,106712,2377,6.51,0,0,513,Java,162,343,0.4723
denoland/deno,106369,2855,7.82,14332,368,0,Rust,11621,13966,0.8321
Comfy-Org/ComfyUI,105373,1147,3.14,2225,126,0,Python,4536,7996,0.5673
goldbergyoni/nodebestpractices,105162,3097,8.48,766,0,327,Dockerfile,286,335,0.8537
fatedier/frp,105038,3731,10.21,758,109,0,Go,4023,4062,0.9904
papers-we-love/papers-we-love,103941,4467,12.23,439,0,15,Shell,246,248,0.9919
tauri-apps/tauri,103874,2431,6.66,5402,0,0,Rust,4915,6173,0.7962
facebook/create-react-app,103824,3522,9.64,1949,83,387,JavaScript,6574,8423,0.7805
microsoft/terminal,102089,3131,8.57,4379,148,2,C++,12169,13820,0.8805
deepseek-ai/DeepSeek-V3,101971,438,1.2,25,1,193,Python,682,731,0.933
clash-verge-rev/clash-verge-rev,101489,838,2.29,757,62,0,TypeScript,4843,5012,0.9663
Shubhamsaboo/awesome-llm-apps,101149,679,1.86,171,0,1,Python,124,124,1.0
angular/angular,100138,4190,11.47,5696,611,0,TypeScript,29380,30384,0.967
jaywcjlove/awesome-mac,99740,3522,9.64,1084,13,0,JavaScript,379,514,0.7374
supabase/supabase,98786,2340,6.41,15632,26,0,TypeScript,4984,5253,0.9488
Anduin2017/HowToCook,98642,2200,6.02,616,4,2,Dockerfile,364,827,0.4401
2dust/v2rayN,98287,2414,6.61,398,300,1,C#,6600,6610,0.9985
pytorch/pytorch,98115,3495,9.57,6432,64,0,Python,41110,57181,0.7189
mui/material-ui,98058,4220,11.55,21496,558,0,TypeScript,18755,20351,0.9216
ant-design/ant-design,97733,3972,10.87,17097,741,0,TypeScript,31140,32415,0.9607
ggml-org/llama.cpp,97360,1094,3.0,7529,1000,0,C++,6736,7181,0.938
neovim/neovim,97117,4420,12.1,17760,48,0,Vim Script,12119,13757,0.8809
google-gemini/gemini-cli,97022,326,0.89,5341,398,0,TypeScript,8823,10946,0.806
fastapi/fastapi,96067,2648,7.25,3172,269,2,Python,3495,3506,0.9969
openai/whisper,95685,1269,3.47,119,13,84,Python,0,0,
nvbn/thefuck,95641,3988,10.92,481,17,598,Python,477,774,0.6163
microsoft/Web-Dev-For-Beginners,95400,1945,5.33,667,0,2,JavaScript,387,426,0.9085
immich-app/immich,94416,1495,4.09,8743,287,0,TypeScript,7511,8026,0.9358
ryanmcdermott/clean-code-javascript,94313,3390,9.28,149,0,588,JavaScript,165,245,0.6735
tailwindlabs/tailwindcss,94009,3076,8.42,3303,300,0,TypeScript,4721,4774,0.9889
iluwatar/java-design-patterns,93800,4230,11.58,1520,0,7,Java,839,978,0.8579
puppeteer/puppeteer,93774,3225,8.83,5839,646,0,TypeScript,7065,7325,0.9645
nvm-sh/nvm,92150,5807,15.9,741,71,17,Shell,2062,2394,0.8613
microsoft/markitdown,90436,480,1.31,170,18,16,Python,84,388,0.2165
PanJiaChen/vue-element-admin,90284,3248,8.89,311,49,501,Vue,2357,3613,0.6524
firecrawl/firecrawl,90086,692,1.89,1376,32,0,TypeScript,781,824,0.9478
storybookjs/storybook,89405,3643,9.97,12310,1000,0,TypeScript,12053,14164,0.851
bitcoin/bitcoin,88415,5559,15.22,16188,63,0,C++,8656,9017,0.96
gin-gonic/gin,88271,4283,11.73,1224,29,5,Go,1786,2383,0.7495
anthropics/skills,88128,168,0.46,22,0,2,Python,25,155,0.1613
oven-sh/bun,88024,1790,4.9,7190,210,0,Zig,10941,15798,0.6926
rasbt/LLMs-from-scratch,87530,959,2.63,483,0,1,Jupyter Notebook,218,218,1.0
ChatGPTNextWeb/NextChat,87449,1094,3.0,894,77,97,TypeScript,2899,3582,0.8093
django/django,87058,5063,13.86,10335,0,0,Python,0,0,
gohugoio/hugo,86979,4631,12.68,3245,365,0,Go,7800,8039,0.9703
mermaid-js/mermaid,86597,4145,11.35,2590,184,0,TypeScript,2212,3579,0.618
opencv/opencv,86513,4981,13.64,13505,67,3,C++,8866,11442,0.7749
sveltejs/svelte,86076,3395,9.3,6528,607,0,JavaScript,8013,8928,0.8975
home-assistant/core,85235,4556,12.47,82689,1000,0,Python,65464,68414,0.9569
3b1b/manim,85072,4004,10.96,661,13,24,Python,766,1224,0.6258
microsoft/ML-For-Beginners,84226,1832,5.02,446,0,4,Jupyter Notebook,158,159,0.9937
laravel/laravel,83973,5388,14.75,1670,211,0,Blade,0,0,
louislam/uptime-kuma,83852,1710,4.68,1693,125,0,JavaScript,4006,4665,0.8587
microsoft/playwright,83828,2305,6.31,16290,158,0,TypeScript,16517,17109,0.9654
macrozheng/mall,83079,2896,7.93,1,3,3,Java,490,500,0.98
realworld-apps/realworld,82958,3663,10.03,434,0,3,TypeScript,513,545,0.9413
animate-css/animate.css,82617,5262,14.41,315,22,587,CSS,843,883,0.9547
bregman-arie/devops-exercises,81432,2349,6.43,309,0,72,Python,70,104,0.6731
tonsky/FiraCode,81257,4135,11.32,142,29,5,Clojure,960,1380,0.6957
syncthing/syncthing,80653,4486,12.28,2838,462,0,Go,5488,5861,0.9364
modelcontextprotocol/servers,80621,475,1.3,1181,24,1,TypeScript,564,849,0.6643
astral-sh/uv,80572,888,2.43,8547,260,0,Rust,6265,8628,0.7261
spring-projects/spring-boot,80246,4889,13.39,42,339,0,Java,40990,41499,0.9877
browser-use/browser-use,80019,494,1.35,1671,118,0,Python,1297,1406,0.9225
hacksider/Deep-Live-Cam,79921,897,2.46,98,10,3,Python,1035,1116,0.9274
fighting41love/funNLP,79287,2757,7.55,14,0,668,Python,48,85,0.5647
doocs/advanced-java,78892,2711,7.42,89,1,46,Java,147,148,0.9932
vitejs/vite,78730,2148,5.88,6071,660,0,TypeScript,7901,8355,0.9457
anuraghazra/github-readme-stats,78661,2069,5.66,1568,0,6,JavaScript,1229,1385,0.8874
junegunn/fzf,78492,4520,12.38,644,76,0,Go,2850,3104,0.9182
hoppscotch/hoppscotch,78250,2392,6.55,2038,99,0,TypeScript,1771,2344,0.7555
netdata/netdata,78004,4647,12.72,11762,132,0,C,8052,8203,0.9816
tensorflow/models,77692,3685,10.09,2342,51,2,Python,6240,7324,0.852
nomic-ai/gpt4all,77204,1077,2.95,938,38,285,C++,1493,2212,0.675
MisterBooo/LeetCodeAnimation,76719,2650,7.26,63,0,938,Java,43,61,0.7049
zed-industries/zed,76695,1843,5.05,22210,1000,0,Rust,16072,18708,0.8591
coder/code-server,76552,2567,7.03,1639,224,3,TypeScript,3628,3795,0.956
FortAwesome/Font-Awesome,76402,5134,14.06,220,63,26,JavaScript,19611,19904,0.9853
elastic/elasticsearch,76336,5873,16.08,87502,235,0,Java,38702,43165,0.8966
localsend/localsend,76206,1179,3.23,702,24,2,Dart,740,1598,0.4631
d2l-ai/d2l-zh,76093,3120,8.54,1019,16,587,Python,0,0,
swisskyrepo/PayloadsAllTheThings,75897,3429,9.39,564,5,0,Python,0,0,
anthropics/claude-code,75750,380,1.04,145,56,2,Shell,25521,31057,0.8217
typicode/json-server,75643,4485,12.28,161,46,9,JavaScript,566,1179,0.4801
github/spec-kit,75246,199,0.54,186,112,0,Python,342,873,0.3918
Stirling-Tools/Stirling-PDF,75112,1136,3.11,3185,168,0,TypeScript,1316,1660,0.7928
obra/superpowers,74970,150,0.41,39,2,0,Shell,230,343,0.6706
ventoy/Ventoy,74927,2190,6.0,294,108,36,C,1878,2696,0.6966
nestjs/nest,74924,3319,9.09,8098,143,0,TypeScript,5769,5786,0.9971
infiniflow/ragflow,74554,818,2.24,5482,40,0,Python,3632,6629,0.5479
unionlabs/union,74249,1027,2.81,3102,107,13,Rust,1709,1837,0.9303
jesseduffield/lazygit,73820,2851,7.81,1820,176,0,Go,1743,2523,0.6908
sherlock-project/sherlock,73521,2632,7.21,735,2,0,Python,1070,1150,0.9304
redis/redis,73386,6196,16.96,4430,117,0,C,4708,6917,0.6806
lobehub/lobehub,73343,1023,2.8,4380,1000,0,TypeScript,5004,5467,0.9153
twitter/the-algorithm,72853,1078,2.95,2,0,181,Scala,749,1067,0.702
tesseract-ocr/tesseract,72789,4227,11.57,1432,35,9,C++,2318,2748,0.8435
CompVis/stable-diffusion,72658,1307,3.58,5,0,629,Jupyter Notebook,199,735,0.2707
grafana/grafana,72609,4471,12.24,62737,592,0,TypeScript,39963,43224,0.9246
vllm-project/vllm,72592,1124,3.08,14561,85,0,Python,12229,13924,0.8783
openai/openai-cookbook,71968,1459,3.99,1010,0,2,Jupyter Notebook,657,728,0.9025
python/cpython,71957,3313,9.07,57301,0,0,Python,68313,75487,0.905
josephmisiti/awesome-machine-learning,71918,4254,11.65,902,0,38,Python,97,99,0.9798
PaddlePaddle/PaddleOCR,71913,2131,5.83,3121,29,0,Python,10287,10500,0.9797
abi/screenshot-to-code,71823,846,2.32,73,0,0,TypeScript,282,395,0.7139
ocornut/imgui,71818,4249,11.63,419,118,0,C++,5752,6793,0.8468
PKUFlyingPig/cs-self-learning,71688,1601,4.38,315,5,13,HTML,107,231,0.4632
strapi/strapi,71527,3813,10.44,9597,514,0,TypeScript,11255,11812,0.9528
moby/moby,71498,4798,13.14,22360,276,0,Go,20115,23384,0.8602
pallets/flask,71387,5816,15.92,1628,38,0,Python,2723,2723,1.0
dair-ai/Prompt-Engineering-Guide,71344,1179,3.23,342,0,10,MDX,74,241,0.3071
apache/superset,70867,3883,10.63,16469,243,0,TypeScript,11557,12204,0.947
protocolbuffers/protobuf,70813,4213,11.53,8746,208,0,C++,6678,6803,0.9816
obsproject/obs-studio,70809,4542,12.44,5425,237,1,C,4167,4922,0.8466
caddyserver/caddy,70745,4072,11.15,2266,134,3,Go,4293,4490,0.9561
hakimel/reveal.js,70690,5388,14.75,414,49,0,JavaScript,1697,2491,0.6813
binary-husky/gpt_academic,70198,1085,2.97,228,32,43,Python,1481,1757,0.8429
swiftlang/swift,69907,3789,10.37,58115,66,0,C++,10074,17489,0.576
Eugeny/tabby,69405,3363,9.21,1512,204,9,TypeScript,3510,6032,0.5819
danielmiessler/SecLists,69326,5132,14.05,696,29,0,PHP,309,318,0.9717
nektos/act,69211,2622,7.18,1057,92,4,Go,1077,1318,0.8171
expressjs/express,68926,6099,16.7,522,164,8,JavaScript,3930,4030,0.9752
affaan-m/everything-claude-code,68882,50,0.14,99,10,1,JavaScript,129,138,0.9348
OpenHands/OpenHands,68820,726,1.99,6461,99,0,Python,3688,3856,0.9564
base/node,68705,1132,3.1,249,72,0,Go,325,331,0.9819
AppFlowy-IO/AppFlowy,68480,1727,4.73,3894,128,0,Dart,2997,3905,0.7675
ansible/ansible,68288,5116,14.01,39672,207,3,Python,32755,33292,0.9839
hiyouga/LlamaFactory,68104,1016,2.78,903,35,0,Python,6968,7875,0.8848
chartjs/Chart.js,67237,4739,12.97,3016,117,9,JavaScript,6817,7301,0.9337
juliangarnier/anime,66777,3647,9.98,87,34,24,JavaScript,750,836,0.8971
leonardomso/33-js-concepts,66269,2743,7.51,262,0,8,JavaScript,119,119,1.0
webpack/webpack,66079,5112,14.0,5568,448,0,JavaScript,10040,10151,0.9891
labmlai/annotated_deep_learning_paper_implementations,65886,2022,5.54,104,0,46,Python,114,142,0.8028
apache/echarts,65883,4723,12.93,1494,122,0,TypeScript,17673,19306,0.9154
xtekky/gpt4free,65737,1076,2.95,872,430,3,Python,1986,1995,0.9955
TapXWorld/ChinaTextbook,65684,2255,6.17,1,0,142,Roff,76,161,0.472
toeverything/AFFiNE,65569,1316,3.6,9039,542,0,TypeScript,3113,3623,0.8592
NationalSecurityAgency/ghidra,65539,2565,7.02,553,52,3,Java,4330,5869,0.7378
scikit-learn/scikit-learn,65369,5683,15.56,14176,49,0,Python,10397,11983,0.8676
TheAlgorithms/Java,65179,3523,9.65,2269,0,1,Java,1178,1203,0.9792
kdn251/interviews,65014,3309,9.06,42,0,301,Java,24,58,0.4138
kelseyhightower/nocode,64954,2952,8.08,1,1,579,Dockerfile,729,4922,0.1481
FoundationAgents/MetaGPT,64912,983,2.69,673,22,47,Python,890,907,0.9813
chrislgarry/Apollo-11,64646,4358,11.93,355,0,46,Assembly,330,388,0.8505
localstack/localstack,64609,3421,9.37,6813,106,0,Python,5869,6176,0.9503
openai/codex,64128,330,0.9,4393,587,0,Rust,4940,6522,0.7574
facebook/docusaurus,64050,3184,8.72,5627,154,2,TypeScript,3113,3402,0.915
keras-team/keras,63958,3999,10.95,4665,86,0,Python,12468,12658,0.985
daytonaio/daytona,63304,762,2.09,1873,162,0,TypeScript,835,1072,0.7789
prometheus/prometheus,63152,4853,13.29,8241,359,0,Go,5876,6394,0.919
socketio/socket.io,62939,5841,15.99,440,82,3,TypeScript,3464,3651,0.9488
alacritty/alacritty,62908,3672,10.05,1918,105,4,Rust,5929,6252,0.9483
resume/resume.github.com,62808,5510,15.09,84,0,1118,JavaScript,67,127,0.5276
OpenBB-finance/OpenBB,62745,1905,5.22,4219,55,0,Python,2251,2286,0.9847
openinterpreter/open-interpreter,62605,969,2.65,384,48,28,Python,804,1051,0.765
nocodb/nocodb,62430,3052,8.36,5839,183,0,TypeScript,4065,4495,0.9043
traefik/traefik,62156,3829,10.48,5094,508,0,Go,5938,6610,0.8983
rust-lang/rustlings,62099,3828,10.48,922,46,11,Rust,709,758,0.9354
gorhill/uBlock,61990,3995,10.94,256,283,2,JavaScript,3434,3447,0.9962
ryanoasis/nerd-fonts,61917,4112,11.26,565,38,30,CSS,1080,1127,0.9583
FuelLabs/sway,61904,1874,5.13,3641,185,0,Rust,2418,3267,0.7401
unclecode/crawl4ai,61596,669,1.83,164,13,0,Python,907,935,0.9701
lodash/lodash,61580,5084,13.92,614,2,14,JavaScript,4274,4338,0.9852
reduxjs/redux,61443,3936,10.78,1747,78,3,TypeScript,2030,2067,0.9821
LadybirdBrowser/ladybird,61147,648,1.77,5927,0,0,C++,932,1482,0.6289
atom/atom,60991,5161,14.13,3937,538,1161,JavaScript,16148,17111,0.9437
h5bp/Front-end-Developer-Interview-Questions,60799,5141,14.08,484,0,9,Nunjucks,143,177,0.8079
BurntSushi/ripgrep,60740,3650,9.99,544,74,10,Rust,1674,1769,0.9463
scrapy/scrapy,60707,5859,16.04,2475,46,7,Python,2781,3242,0.8578
youngyangyang04/leetcode-master,60647,2277,6.23,2311,0,41,Shell,68,277,0.2455
minio/minio,60446,4071,11.15,9882,521,24,Go,7840,7885,0.9943
commaai/openpilot,60264,3392,9.29,12675,61,0,Python,3048,3227,0.9445
adam-p/markdown-here,60164,5048,13.82,27,17,199,JavaScript,334,635,0.526
jquery/jquery,59861,6184,16.93,868,13,0,JavaScript,2305,2381,0.9681
nuxt/nuxt,59848,3421,9.37,7487,274,0,TypeScript,16364,17166,0.9533
jgraph/drawio-desktop,59737,3209,8.79,25,170,1,JavaScript,1677,1739,0.9643
spring-projects/spring-framework,59735,5570,15.25,907,357,0,Java,27582,27898,0.9887
git/git,59550,6438,17.63,3,0,1,C,0,0,
CorentinJ/Real-Time-Voice-Cloning,59508,2479,6.79,51,0,0,Python,952,1112,0.8561
pathwaycom/pathway,59454,1198,3.28,19,84,0,Python,113,141,0.8014
shadowsocks/shadowsocks-windows,59270,4802,13.15,290,55,432,C#,2727,2915,0.9355
Asabeneh/30-Days-Of-Python,59242,2302,6.3,137,0,5,Python,84,143,0.5874
Solido/awesome-flutter,59214,3228,8.84,448,0,26,Dart,0,0,
meta-llama/llama,59214,1119,3.06,54,0,406,Python,652,1112,0.5863
topjohnwu/Magisk,59156,3469,9.5,1688,156,0,Rust,6457,6496,0.994
angular/angular.js,58924,5906,16.17,790,0,696,JavaScript,8644,9033,0.9569
cline/cline,58799,611,1.67,3265,240,0,TypeScript,2926,3428,0.8536
rails/rails,58393,6541,17.91,25888,160,0,Ruby,17974,18486,0.9723
FiloSottile/mkcert,58315,2814,7.7,52,14,573,Go,241,350,0.6886
sharkdp/bat,57620,2879,7.88,1581,43,1,Rust,1269,1580,0.8032
usememos/memos,57603,1552,4.25,1927,86,0,Go,2820,2829,0.9968
h5bp/html5-boilerplate,57402,5888,16.12,804,34,8,JavaScript,1353,1358,0.9963
withastro/astro,57372,1820,4.98,8263,1000,0,TypeScript,5795,5983,0.9686
FuelLabs/fuel-core,57319,2019,5.53,1618,125,0,Rust,996,1154,0.8631
pmndrs/zustand,57296,2526,6.92,889,101,1,TypeScript,691,693,0.9971
scutan90/DeepLearning-500-questions,57188,2812,7.7,302,0,621,JavaScript,81,192,0.4219
zylon-ai/private-gpt,57162,1042,2.85,226,10,11,Python,965,1228,0.7858
ultralytics/yolov5,56954,2121,5.81,2240,10,0,Python,9401,9440,0.9959
soimort/you-get,56766,4949,13.55,582,123,316,Python,0,0,
pocketbase/pocketbase,56633,1343,3.68,55,247,0,Go,1928,1952,0.9877
dani-garcia/vaultwarden,56500,2941,8.05,1086,78,0,Rust,2556,2568,0.9953
remix-run/react-router,56286,4314,11.81,3414,326,4,TypeScript,8197,8312,0.9862
meilisearch/meilisearch,56247,2877,7.88,2340,300,0,Rust,2167,2394,0.9052
ageitgey/face_recognition,56185,3292,9.01,94,2,565,Python,598,1378,0.434
pathwaycom/llm-app,56175,964,2.64,49,0,61,Jupyter Notebook,13,18,0.7222
rust-unofficial/awesome-rust,56076,4253,11.64,1705,0,0,Rust,134,144,0.9306
pi-hole/pi-hole,56034,4292,11.75,2173,123,2,Shell,3095,3129,0.9891
Mintplex-Labs/anything-llm,55967,1009,2.76,1308,25,0,JavaScript,2957,3235,0.9141
gatsbyjs/gatsby,55938,3944,10.8,18256,158,0,JavaScript,13915,14130,0.9848
rclone/rclone,55926,4376,11.98,2310,122,0,Go,5035,5973,0.843
azl397985856/leetcode,55822,2901,7.94,257,40,236,JavaScript,248,256,0.9688
opendatalab/MinerU,55792,739,2.02,1320,143,2,Python,1905,2095,0.9093
Textualize/rich,55718,2311,6.33,860,175,11,Python,1265,1481,0.8542
RVC-Boss/GPT-SoVITS,55620,785,2.15,355,4,28,Python,1233,2009,0.6137
golang-standards/project-layout,55516,3103,8.5,94,0,87,Makefile,44,115,0.3826
microsoft/autogen,55362,934,2.56,2534,98,4,Python,2496,2943,0.8481
docling-project/docling,55290,608,1.66,752,156,0,Python,826,1640,0.5037
AntonOsika/gpt-engineer,55222,1045,2.86,351,21,299,Python,471,502,0.9382
Z4nzu/hackingtool,55191,2158,5.91,57,0,146,Python,323,393,0.8219
FoundationAgents/OpenManus,55113,368,1.01,115,3,26,Python,390,742,0.5256
appwrite/appwrite,55102,2527,6.92,4453,120,0,TypeScript,3757,4310,0.8717
deepfakes/faceswap,55029,3002,8.22,363,5,6,Python,896,898,0.9978
starship/starship,54675,2533,6.93,3060,138,0,Rust,1853,2630,0.7046
karpathy/nanoGPT,54458,1167,3.2,45,0,116,Python,114,353,0.3229
lencx/ChatGPT,54376,1188,3.25,123,34,557,Rust,368,1253,0.2937
marktext/marktext,54366,3039,8.32,944,36,5,JavaScript,1655,3004,0.5509
ElemeFE/element,54206,3474,9.51,3231,145,566,Vue,15249,17894,0.8522
go-gitea/gitea,54195,3415,9.35,18545,224,0,Go,12820,15445,0.83
ultralytics/ultralytics,54114,1275,3.49,4258,349,0,Python,12376,12499,0.9902
maybe-finance/maybe,54051,797,2.18,1073,28,227,Ruby,0,0,
psf/requests,53901,5502,15.06,1619,14,3,Python,3946,4129,0.9557
laurent22/joplin,53800,3338,9.14,5251,401,0,TypeScript,7200,7780,0.9254
