repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
necolas/normalize.css,53757,5423,14.85,56,0,634,CSS,470,517,0.9091
facebookresearch/segment-anything,53611,1082,2.96,16,0,537,Jupyter Notebook,182,717,0.2538
unslothai/unsloth,53577,831,2.28,779,23,0,Python,2127,2993,0.7107
wagoodman/dive,53511,2857,7.82,164,28,84,Go,205,373,0.5496
microsoft/ai-agents-for-beginners,53496,466,1.28,317,0,1,Jupyter Notebook,86,86,1.0
romkatv/powerlevel10k,53290,2569,7.03,168,33,40,Shell,2488,2604,0.9555
vuejs/core,53178,2827,7.74,3658,269,0,TypeScript,5315,5959,0.8919
mozilla/pdf.js,52947,5431,14.87,8487,83,0,JavaScript,9994,10425,0.9587
WerWolv/ImHex,52827,1945,5.33,726,82,0,C++,1252,1557,0.8041
Zie619/n8n-workflows,52733,299,0.82,34,1,26,Python,81,99,0.8182
JetBrains/kotlin,52430,5138,14.07,2142,284,0,Kotlin,0,0,
ionic-team/ionic-framework,52386,4583,12.55,6526,931,0,TypeScript,21549,22144,0.9731
sickcodes/Docker-OSX,52238,2104,5.76,109,0,118,Shell,287,681,0.4214
TryGhost/Ghost,51998,4692,12.85,15706,954,0,JavaScript,7154,7219,0.991
typst/typst,51963,2357,6.45,2234,27,4,Rust,2960,4063,0.7285
2dust/v2rayNG,51906,2490,6.82,541,282,0,Kotlin,3689,3699,0.9973
prettier/prettier,51778,3387,9.27,9666,134,1,JavaScript,5981,7181,0.8329
PowerShell/PowerShell,51776,3707,10.15,8064,193,0,C#,12140,13329,0.9108
termux/termux-app,51693,3790,10.38,177,95,10,Java,2594,3028,0.8567
etcd-io/etcd,51677,4628,12.67,10238,272,0,Go,7011,7125,0.984
xai-org/grok-1,51535,722,1.98,5,0,556,Python,0,0,
coollabsio/coolify,51523,1868,5.11,2306,666,0,PHP,2902,3475,0.8351
vsouza/awesome-ios,51495,4260,11.66,2240,0,161,Swift,490,494,0.9919
google/guava,51495,4302,11.78,1199,57,1,Java,3031,3650,0.8304
jekyll/jekyll,51432,6349,17.38,3197,112,9,Ruby,4798,4925,0.9742
Semantic-Org/Semantic-UI,51135,4717,12.91,356,154,466,JavaScript,5269,6235,0.8451
chinese-poetry/chinese-poetry,51040,3475,9.51,137,1,341,JavaScript,92,213,0.4319
DefinitelyTyped/DefinitelyTyped,51022,4903,13.42,52970,1,0,TypeScript,7543,8109,0.9302
agalwood/Motrix,51011,2638,7.22,192,21,606,JavaScript,600,1355,0.4428
ethereum/go-ethereum,50903,4456,12.2,8789,228,0,Go,8450,8637,0.9783
charlax/professional-programming,50640,3775,10.34,43,0,4,Python,32,32,1.0
FlowiseAI/Flowise,50563,1074,2.94,1578,80,0,TypeScript,1872,2510,0.7458
poteto/hiring-without-whiteboards,50477,3281,8.98,1309,0,10,JavaScript,0,0,
dockur/windows,50274,785,2.15,519,119,0,Shell,883,983,0.8983
harry0703/MoneyPrinterTurbo,50101,728,1.99,145,9,85,Python,400,620,0.6452
jgthms/bulma,50057,3697,10.12,646,22,7,CSS,2403,2743,0.876
jesseduffield/lazydocker,50045,2487,6.81,191,45,51,Go,204,397,0.5139
mastodon/mastodon,49723,3668,10.04,19179,327,0,Ruby,8547,12742,0.6708
cypress-io/cypress,49600,4023,11.01,8084,387,0,TypeScript,14126,15323,0.9219
NARKOZ/hacker-scripts,49431,3760,10.29,63,0,867,JavaScript,68,104,0.6538
odoo/odoo,49401,4318,11.82,6182,0,0,Python,15254,18820,0.8105
lyswhut/lx-music-desktop,49216,2399,6.57,90,112,2,TypeScript,1275,2360,0.5403
jellyfin/jellyfin,49194,2647,7.25,5181,102,0,C#,7564,8196,0.9229
mem0ai/mem0,49165,993,2.72,1824,273,0,Python,949,1403,0.6764
AlistGo/alist,49136,1902,5.21,905,143,3,Go,3898,4433,0.8793
nlohmann/json,49067,4631,12.68,1007,45,3,C++,2332,2368,0.9848
dbeaver/dbeaver,48999,3792,10.38,6729,243,0,Java,16848,20016,0.8417
huginn/huginn,48839,4747,13.0,1065,1,0,Ruby,1576,2180,0.7229
ChrisTitusTech/winutil,48794,1411,3.86,1069,34,1,PowerShell,2140,2154,0.9935
TanStack/query,48747,2371,6.49,3201,1000,0,TypeScript,2203,2273,0.9692
JuliaLang/julia,48597,5436,14.88,26902,195,0,Julia,21998,25842,0.8512
iamkun/dayjs,48582,2890,7.91,715,125,6,JavaScript,868,1825,0.4756
ReactiveX/RxJava,48486,4807,13.16,3377,243,3,Java,3167,3181,0.9956
algorithm-visualizer/algorithm-visualizer,48374,3585,9.82,183,0,638,JavaScript,77,124,0.621
sansan0/TrendRadar,48328,315,0.86,1,0,8,Python,370,399,0.9273
upstash/context7,48272,347,0.95,271,50,0,TypeScript,1541,1706,0.9033
pandas-dev/pandas,48084,5676,15.54,28013,118,0,Python,24729,28162,0.8781
moment/moment,48053,5487,15.02,714,0,572,JavaScript,3915,4166,0.9398
hashicorp/terraform,47952,4378,11.99,13210,403,0,Go,19861,21614,0.9189
x64dbg/x64dbg,47855,3984,10.91,774,4,1,C++,2110,2686,0.7856
lllyasviel/Fooocus,47833,942,2.58,448,21,97,Python,1420,1644,0.8637
expo/expo,47806,3493,9.56,20672,0,0,TypeScript,17825,18171,0.981
type-challenges/type-challenges,47793,2055,5.63,600,0,8,TypeScript,3998,37047,0.1079
minimaxir/big-list-of-naughty-strings,47604,3865,10.58,89,0,690,Python,32,101,0.3168
bigskysoftware/htmx,47579,2156,5.9,1049,27,1,JavaScript,1068,1673,0.6384
skylot/jadx,47558,4739,12.97,623,34,1,Java,1637,2051,0.7981
gogs/gogs,47557,4408,12.07,1869,96,5,Go,4255,5178,0.8217
run-llama/llama_index,47518,1223,3.35,7648,425,0,Python,6734,6943,0.9699
freqtrade/freqtrade,47492,3217,8.81,6336,110,0,Python,5531,5560,0.9948
ggml-org/whisper.cpp,47361,1260,3.45,932,31,4,C++,873,1874,0.4658
virattt/ai-hedge-fund,47093,465,1.27,41,0,0,Python,203,232,0.875
jakevdp/PythonDataScienceHandbook,47008,3498,9.58,28,0,620,Jupyter Notebook,79,208,0.3798
typescript-cheatsheets/react,46989,2837,7.77,375,0,24,JavaScript,224,224,1.0
serverless/serverless,46946,3975,10.88,4858,480,0,JavaScript,5481,6599,0.8306
v2ray/v2ray-core,46932,3839,10.51,203,247,0,Go,2593,2596,0.9988
slab/quill,46929,4969,13.6,382,95,227,TypeScript,3269,3821,0.8555
Homebrew/brew,46919,3655,10.01,13818,473,0,Ruby,4988,4996,0.9984
square/okhttp,46918,4977,13.63,3965,0,4,Kotlin,4181,4247,0.9845
pixijs/pixijs,46702,4794,13.13,3812,304,0,TypeScript,5802,6072,0.9555
GokuMohandas/Made-With-ML,46683,2681,7.34,147,1,4,Jupyter Notebook,59,77,0.7662
tw93/Pake,46537,1242,3.4,111,41,0,Rust,475,475,1.0
discourse/discourse,46524,4804,13.15,33454,0,0,Ruby,0,0,
OpenCut-app/OpenCut,46456,260,0.71,187,2,0,TypeScript,85,250,0.34
makeplane/plane,46384,1206,3.3,6280,54,2,TypeScript,968,1570,0.6166
metabase/metabase,46338,4052,11.09,39550,733,0,Clojure,20740,24407,0.8498
ClickHouse/ClickHouse,46253,3567,9.77,59191,746,0,C++,22901,27457,0.8341
oobabooga/text-generation-webui,46194,1174,3.21,1237,93,0,Python,3275,4101,0.7986
astral-sh/ruff,46175,1308,3.58,13656,402,0,Rust,6168,7807,0.7901
Asabeneh/30-Days-Of-JavaScript,46159,2268,6.21,100,0,93,JavaScript,60,178,0.3371
microsoft/AI-For-Beginners,45925,1832,5.02,289,0,4,Jupyter Notebook,148,149,0.9933
acmesh-official/acme.sh,45902,3726,10.2,1513,46,1,Shell,2389,3517,0.6793
ghostty-org/ghostty,45818,1441,3.95,3630,1,0,Zig,1895,2023,0.9367
tldraw/tldraw,45709,1765,4.83,4437,102,0,TypeScript,1881,2159,0.8712
microsoft/monaco-editor,45703,3562,9.75,558,187,3,JavaScript,3229,3969,0.8136
android/architecture-samples,45597,3685,10.09,232,0,5,Kotlin,349,491,0.7108
crewAIInc/crewAI,45591,864,2.37,1396,141,0,Python,1695,1773,0.956
prisma/prisma,45475,2454,6.72,6753,242,0,TypeScript,9438,11829,0.7979
LeCoupa/awesome-cheatsheets,45463,3042,8.33,171,0,17,JavaScript,59,100,0.59
jeecgboot/JeecgBoot,45366,2660,7.28,126,70,0,Java,8128,8160,0.9961
karpathy/nanochat,45360,147,0.4,73,0,4,Python,105,120,0.875
coreybutler/nvm-windows,45326,4188,11.47,107,23,1,Go,880,950,0.9263
ColorlibHQ/AdminLTE,45320,4457,12.2,1565,77,4,CSS,2769,2907,0.9525
jestjs/jest,45317,4472,12.24,5774,213,4,TypeScript,7975,8178,0.9752
google/zx,45257,1769,4.84,605,100,0,JavaScript,492,511,0.9628
NanmiCoder/MediaCrawler,45130,1004,2.75,132,0,6,Python,436,570,0.7649
bevyengine/bevy,44963,2241,6.14,7490,53,0,Rust,5354,8023,0.6673
RocketChat/Rocket.Chat,44843,3947,10.81,15696,1000,0,TypeScript,14501,16832,0.8615
KRTirtho/spotube,44831,1849,5.06,257,43,13,Dart,1304,2027,0.6433
isocpp/CppCoreGuidelines,44822,3854,10.55,825,4,3,CSS,990,1230,0.8049
meteor/meteor,44780,5163,14.14,2671,0,0,JavaScript,9020,9257,0.9744
coqui-ai/TTS,44768,2119,5.8,467,98,570,Python,1227,1230,0.9976
vercel/hyper,44712,3538,9.69,3291,88,572,TypeScript,2874,3821,0.7522
slidevjs/slidev,44692,1780,4.87,804,419,6,TypeScript,1139,1296,0.8789
penpot/penpot,44669,3722,10.19,5530,69,0,Clojure,1628,2173,0.7492
gedoor/legado,44669,2483,6.8,1139,115,1,Kotlin,3173,3200,0.9916
Leaflet/Leaflet,44609,5647,15.46,3237,34,0,JavaScript,4943,5342,0.9253
react-hook-form/react-hook-form,44572,2560,7.01,2141,600,9,TypeScript,4841,4927,0.9825
apache/airflow,44559,3983,10.9,34338,114,0,Python,12584,13914,0.9044
grpc/grpc,44459,4108,11.25,20513,364,0,C++,11224,11919,0.9417
GitSquared/edex-ui,44404,3327,9.11,399,29,1601,JavaScript,553,559,0.9893
pyenv/pyenv,44376,4938,13.52,1041,150,2,Shell,1833,1883,0.9734
sudheerj/reactjs-interview-questions,44330,2839,7.77,170,0,13,JavaScript,109,113,0.9646
docker/awesome-compose,44304,2216,6.07,149,0,4,HTML,43,141,0.305
astaxie/build-web-application-with-golang,44152,4967,13.6,757,0,666,Go,183,306,0.598
parcel-bundler/parcel,44049,3136,8.59,2600,52,4,JavaScript,5052,5521,0.9151
NaiboWang/EasySpider,44041,2060,5.64,44,10,11,JavaScript,496,758,0.6544
iina/iina,44012,3367,9.22,884,47,0,Swift,2511,4378,0.5735
streamich/react-use,43950,2690,7.36,1533,256,48,TypeScript,245,609,0.4023
square/retrofit,43904,5662,15.5,1344,4,2,HTML,2637,2765,0.9537
babel/babel,43898,4180,11.44,6555,452,1,TypeScript,8467,9057,0.9349
yangshun/front-end-interview-handbook,43876,2976,8.15,349,0,6,MDX,91,102,0.8922
upscayl/upscayl,43846,1318,3.61,0,29,2,TypeScript,981,1037,0.946
streamlit/streamlit,43817,2389,6.54,6876,116,0,Python,4659,5788,0.8049
aymericdamien/TensorFlow-Examples,43800,3771,10.32,88,0,590,Jupyter Notebook,71,238,0.2983
SimplifyJobs/Summer2026-Internships,43713,2115,5.79,1674,0,0,Python,7256,7257,0.9999
spf13/cobra,43445,4569,12.51,626,27,89,Go,997,1238,0.8053
mudler/LocalAI,43424,1086,2.97,4978,97,0,Go,1167,1286,0.9075
helix-editor/helix,43422,2107,5.77,4613,30,4,Rust,4729,5739,0.824
AykutSarac/jsoncrack.com,43420,1499,4.1,89,22,17,TypeScript,246,281,0.8754
FuelLabs/fuels-rs,43387,1589,4.35,910,120,0,Rust,613,663,0.9246
zhongyang219/TrafficMonitor,43366,3144,8.61,67,26,25,C++,729,1976,0.3689
FuelLabs/fuels-ts,43341,1648,4.51,1979,156,35,TypeScript,1400,1457,0.9609
getsentry/sentry,43303,5669,15.52,81980,163,0,Python,14840,16724,0.8873
milvus-io/milvus,43269,2366,6.48,24849,153,0,Go,14381,15229,0.9443
9001/copyparty,43087,2479,6.79,172,337,0,Python,649,861,0.7538
cli/cli,43031,2349,6.43,2822,189,0,Go,4887,5788,0.8443
Unitech/pm2,42974,4675,12.8,558,134,29,JavaScript,4104,5120,0.8016
apache/spark,42955,4395,12.03,9,0,0,Scala,3,17,0.1765
Light-City/CPlusPlusThings,42941,2430,6.65,72,0,633,C++,218,230,0.9478
Kong/kong,42909,4129,11.3,6501,145,6,Lua,4532,4590,0.9874
ziglang/zig,42884,3868,10.59,9540,21,102,Zig,10191,13518,0.7539
tmux/tmux,42809,3931,10.76,3,39,0,C,3863,3900,0.9905
faif/python-patterns,42783,5023,13.75,289,0,24,Python,86,97,0.8866
mitmproxy/mitmproxy,42587,5865,16.06,2741,79,0,Python,3279,3643,0.9001
bannedbook/fanqiang,42505,4072,11.15,3,3,30,Kotlin,485,812,0.5973
DIYgod/RSSHub,42495,2898,7.93,12117,0,0,TypeScript,5965,6322,0.9435
jgm/pandoc,42480,5832,15.97,1761,153,0,Haskell,7216,8185,0.8816
hiroi-sora/Umi-OCR,42466,1442,3.95,58,31,109,Python,518,842,0.6152
exo-explore/exo,42399,622,1.7,610,13,0,Python,636,738,0.8618
Alamofire/Alamofire,42357,4239,11.61,664,104,25,Swift,2779,2812,0.9883
files-community/Files,42339,2620,7.17,5520,131,0,C#,10574,11069,0.9553
ComposioHQ/awesome-claude-skills,42272,143,0.39,20,0,18,Python,4,59,0.0678
apachecn/ailearning,42107,3299,9.03,478,2,482,Python,114,117,0.9744
colinhacks/zod,42070,2192,6.0,975,201,22,TypeScript,2847,3013,0.9449
mingrammer/diagrams,42063,2227,6.1,341,46,30,Python,224,539,0.4156
zhayujie/chatgpt-on-wechat,42063,1310,3.59,286,66,0,Python,1716,2025,0.8474
sharkdp/fd,42009,3225,8.83,713,43,0,Rust,821,955,0.8597
gradio-app/gradio,41973,2637,7.22,5364,1000,0,Python,6027,6468,0.9318
fastapi/full-stack-fastapi-template,41911,2571,7.04,621,12,2,TypeScript,436,436,1.0
nolimits4web/swiper,41804,5107,13.98,619,94,13,JavaScript,5575,5809,0.9597
deepspeedai/DeepSpeed,41771,2236,6.12,2947,107,1,Python,2157,3310,0.6517
siyuan-note/siyuan,41751,2017,5.52,700,878,0,TypeScript,15881,16212,0.9796
ray-project/ray,41709,3421,9.37,30105,122,0,Python,19498,22430,0.8693
Aider-AI/aider,41705,1034,2.83,284,93,6,Python,2813,3980,0.7068
apache/dubbo,41702,5011,13.72,6023,113,0,Java,6562,7368,0.8906
nwjs/nw.js,41568,5178,14.18,576,0,4,JavaScript,6484,7435,0.8721
usebruno/bruno,41559,1258,3.44,2065,160,0,JavaScript,2436,3911,0.6229
yarnpkg/yarn,41532,3702,10.14,1655,153,2,JavaScript,4742,6618,0.7165
logseq/logseq,41495,2116,5.79,3133,152,0,Clojure,7143,8103,0.8815
dcloudio/uni-app,41448,2797,7.66,555,0,0,JavaScript,4387,5056,0.8677
psf/black,41425,2916,7.98,1734,52,0,Python,2486,2778,0.8949
dylanaraps/pure-bash-bible,41411,2826,7.74,28,0,832,Shell,33,77,0.4286
hpcaitech/ColossalAI,41359,1593,4.36,3705,50,0,Python,1299,1741,0.7461
hexojs/hexo,41290,4915,13.46,975,117,5,TypeScript,3918,3993,0.9812
ccxt/ccxt,41258,3221,8.82,14220,216,0,Python,10508,11312,0.9289
zai-org/ChatGLM-6B,41227,1092,2.99,49,0,620,Python,752,1313,0.5727
curl/curl,41162,5834,15.97,203,94,0,C,5368,5378,0.9981
bailicangdu/vue2-elm,41162,3363,9.21,21,0,332,Vue,512,631,0.8114
fastlane/fastlane,41146,4115,11.27,6344,560,1,Ruby,12592,13260,0.9496
CherryHQ/cherry-studio,41104,654,1.79,3044,246,0,TypeScript,8219,8701,0.9446
payloadcms/payload,41084,1888,5.17,6758,559,0,TypeScript,4110,4387,0.9369
Raphire/Win11Debloat,41080,1958,5.36,65,24,0,PowerShell,257,288,0.8924
chubin/cheat.sh,41063,3227,8.84,129,0,75,Python,136,266,0.5113
juspay/hyperswitch,41057,1239,3.39,6544,152,0,Rust,2531,3471,0.7292
styled-components/styled-components,41030,3492,9.56,995,189,17,TypeScript,2676,2985,0.8965
vuetifyjs/vuetify,40987,3465,9.49,4666,641,0,TypeScript,14816,15284,0.9694
janhq/jan,40908,935,2.56,3455,97,0,TypeScript,3078,3327,0.9252
tabler/tabler,40822,2958,8.1,787,51,0,HTML,1063,1150,0.9243
jingyaogong/minimind,40790,590,1.62,9,2,31,Python,529,551,0.9601
zen-browser/desktop,40558,711,1.95,790,155,0,JavaScript,8000,8490,0.9423
calcom/cal.com,40506,1813,4.96,12914,611,0,TypeScript,8083,9063,0.8919
bradtraversy/50projects50days,40475,1939,5.31,44,0,376,CSS,0,0,
charmbracelet/bubbletea,40468,2249,6.16,676,73,0,Go,314,409,0.7677
DataExpert-io/data-engineer-handbook,40454,840,2.3,177,0,10,Jupyter Notebook,71,84,0.8452
saadeghi/daisyui,40441,1926,5.27,528,184,0,Svelte,2084,2115,0.9853
chakra-ui/chakra-ui,40399,2396,6.56,2929,1000,0,TypeScript,4280,4287,0.9984
twentyhq/twenty,40325,1194,3.27,10159,59,0,TypeScript,5939,6143,0.9668
QSCTech/zju-icicles,40320,3541,9.69,232,0,48,HTML,69,78,0.8846
aria2/aria2,40228,5581,15.28,254,24,0,C++,827,1914,0.4321
wg/wrk,40116,5102,13.97,0,0,800,C,262,407,0.6437
remoteintech/remote-jobs,40066,3800,10.4,1374,0,3,Nunjucks,196,203,0.9655
php/php-src,40034,5380,14.73,4795,42,0,C,3999,4947,0.8084
vim/vim,39981,3855,10.55,440,0,0,Vim Script,7788,9361,0.832
pingcap/tidb,39913,3837,10.51,34649,213,0,Go,17979,22492,0.7994
google-research/bert,39897,2691,7.37,32,0,593,Python,355,1145,0.31
evanw/esbuild,39867,3555,9.73,257,309,31,Go,3313,3858,0.8587
HeyPuter/puter,39852,736,2.02,1328,8,0,JavaScript,854,1016,0.8406
bmad-code-org/BMAD-METHOD,39780,330,0.9,401,24,0,JavaScript,744,826,0.9007
go-gorm/gorm,39701,4518,12.37,775,11,3,Go,5611,6096,0.9204
trpc/trpc,39698,2060,5.64,3854,231,0,TypeScript,1191,1339,0.8895
danielmiessler/Fabric,39607,795,2.18,605,387,0,Go,816,837,0.9749
videojs/video.js,39519,5777,15.82,1819,334,26,JavaScript,4817,5417,0.8892
floodsung/Deep-Learning-Papers-Reading-Roadmap,39479,3433,9.4,28,0,1198,Python,5,57,0.0877
photoprism/photoprism,39474,2963,8.11,885,80,0,Go,2071,2490,0.8317
lm-sys/FastChat,39416,1086,2.97,852,14,280,Python,1067,1933,0.552
appsmithorg/appsmith,39356,2078,5.69,14090,302,0,TypeScript,19299,23707,0.8141
gofiber/fiber,39353,2244,6.14,2118,135,0,Go,1595,1632,0.9773
facebookresearch/faiss,39309,3317,9.08,137,25,0,C++,2499,2728,0.9161
goabstract/Awesome-Design-Tools,39224,2582,7.07,283,0,588,JavaScript,26,49,0.5306
phaserjs/phaser,39151,4714,12.91,1734,173,3,JavaScript,4512,4602,0.9804
Dogfalo/materialize,39125,4195,11.49,449,41,211,JavaScript,4600,5223,0.8807
google/styleguide,39084,3945,10.8,197,0,116,HTML,244,363,0.6722
koalaman/shellcheck,39077,4860,13.31,331,30,10,Haskell,1759,2946,0.5971
imputnet/cobalt,39048,1340,3.67,249,0,2,Svelte,807,1004,0.8038
suno-ai/bark,39042,1066,2.92,19,0,567,Jupyter Notebook,242,477,0.5073
QuivrHQ/quivr,38981,1031,2.82,1824,354,243,Python,1534,1538,0.9974
DataTalksClub/data-engineering-zoomcamp,38963,1600,4.38,454,0,3,Jupyter Notebook,139,141,0.9858
remotion-dev/remotion,38958,2084,5.71,4201,596,0,TypeScript,2146,2215,0.9688
nextlevelbuilder/ui-ux-pro-max-skill,38949,99,0.27,60,14,7,Python,27,70,0.3857
tw93/Mole,38892,167,0.46,124,29,0,Shell,354,356,0.9944
mifi/lossless-cut,38891,3417,9.36,223,105,8,TypeScript,1566,1806,0.8671
2noise/ChatTTS,38888,650,1.78,220,6,50,Python,614,672,0.9137
google/leveldb,38885,4211,11.53,64,21,2,C++,540,788,0.6853
chatboxai/chatbox,38847,1099,3.01,0,52,24,TypeScript,1503,2506,0.5998
nushell/nushell,38713,2495,6.83,8475,117,0,Rust,5569,7030,0.7922
novuhq/novu,38665,1656,4.53,6889,108,0,TypeScript,1546,1670,0.9257
mindsdb/mindsdb,38659,2776,7.6,5783,337,0,Python,4327,4400,0.9834
freeCodeCamp/devdocs,38587,4519,12.37,982,0,3,Ruby,1065,1263,0.8432
agno-agi/agno,38544,1405,3.85,2907,173,0,Python,1706,1982,0.8607
microsoft/qlib,38530,2033,5.57,750,23,25,Python,762,1044,0.7299
impress/impress.js,38518,5184,14.19,124,15,44,JavaScript,432,483,0.8944
preactjs/preact,38461,3832,10.49,1993,240,0,JavaScript,1868,1928,0.9689
code-yeongyu/oh-my-openagent,38415,96,0.26,653,150,0,TypeScript,1005,1217,0.8258
BerriAI/litellm,38382,956,2.62,9829,1000,0,Python,8472,9306,0.9104
PatrickJS/awesome-cursorrules,38343,539,1.48,70,0,136,MDX,8,52,0.1538
google/googletest,38314,3877,10.61,813,11,4,C++,1989,2366,0.8407
gto76/python-cheatsheet,38272,2965,8.12,0,0,1,Python,27,27,1.0
PhilJay/MPAndroidChart,38228,4336,11.87,191,44,277,Java,2898,4965,0.5837
istio/istio,38134,3397,9.3,29484,423,0,Go,21291,21714,0.9805
lapce/lapce,38121,2953,8.08,1177,35,4,Rust,1200,2011,0.5967
halo-dev/halo,38065,2910,7.97,2958,251,0,Java,4346,4579,0.9491
Kong/insomnia,38023,3607,9.88,3752,547,3,TypeScript,3253,3978,0.8177
ant-design/ant-design-pro,37987,3118,8.54,1025,26,2,TypeScript,9625,9800,0.9821
naptha/tesseract.js,37907,3911,10.71,204,57,9,JavaScript,703,734,0.9578
dotnet/aspnetcore,37772,4381,11.99,18616,275,0,C#,35105,38664,0.908
denysdovhan/wtfjs,37738,3160,8.65,125,25,356,JavaScript,96,118,0.8136
pola-rs/polars,37672,2125,5.82,12750,248,0,Rust,9937,12443,0.7986
rapid7/metasploit-framework,37670,5305,14.52,11666,0,0,Ruby,5952,6427,0.9261
httpie/cli,37662,5126,14.03,406,47,447,Python,723,910,0.7945
FreeCodeCampChina/freecodecamp.cn,37638,3447,9.44,55,0,967,CSS,445,587,0.7581
huihut/interview,37572,2950,8.08,36,0,197,C++,65,66,0.9848
ToolJet/ToolJet,37566,1805,4.94,7760,454,0,JavaScript,4538,5154,0.8805
RSSNext/Folo,37564,700,1.92,1433,93,0,TypeScript,2203,2570,0.8572
vlang/v,37522,2586,7.08,13087,303,0,V,9160,10273,0.8917
outline/outline,37511,3577,9.79,4179,157,0,TypeScript,3885,3925,0.9898
CorentinTh/it-tools,37473,2164,5.92,493,10,4,Vue,219,674,0.3249
TeamNewPipe/NewPipe,37463,3839,10.51,1798,141,0,Java,8790,10120,0.8686
chatchat-space/Langchain-Chatchat,37446,1074,2.94,621,31,119,Python,4230,4237,0.9983
LAION-AI/Open-Assistant,37438,1182,3.24,1616,127,569,Python,1419,1646,0.8621
vnpy/vnpy,37432,4025,11.02,1063,66,53,Python,2151,2163,0.9945
google-research/google-research,37417,2712,7.43,29,0,0,Jupyter Notebook,348,1443,0.2412
TencentARC/GFPGAN,37392,1816,4.97,14,8,590,Python,135,509,0.2652
eugenp/tutorials,37356,4696,12.86,13721,0,0,Java,773,791,0.9772
kilimchoi/engineering-blogs,37351,3921,10.74,681,0,565,Ruby,75,97,0.7732
NervJS/taro,37340,2892,7.92,3465,207,0,TypeScript,11517,13134,0.8769
llvm/llvm-project,37285,3379,9.25,75758,149,0,LLVM,64600,92689,0.697
spacedriveapp/spacedrive,37277,1624,4.45,1957,28,30,Rust,518,531,0.9755
666ghj/BettaFish,37259,616,1.69,105,6,4,Python,384,397,0.9673
paperless-ngx/paperless-ngx,37241,1485,4.07,3013,143,0,Python,2368,2368,1.0
exacity/deeplearningbook-chinese,37204,3379,9.25,16,7,2288,TeX,139,203,0.6847
0voice/interview_internal_reference,37203,2464,6.75,35,0,138,Python,19,52,0.3654
docker/compose,37184,4473,12.25,3756,275,0,Go,8236,8282,0.9944
alibaba/arthas,37128,2749,7.53,582,69,0,Java,1756,2132,0.8236
ManimCommunity/manim,37113,2120,5.8,2042,33,1,Python,1363,1739,0.7838
huiyadanli/RevokeMsgPatcher,37079,2423,6.63,12,21,36,C#,945,995,0.9497
openai/gym,37079,3603,9.86,999,19,513,Python,1727,1840,0.9386
satwikkansal/wtfpython,36917,3114,8.53,113,2,54,Python,158,224,0.7054
exelban/stats,36900,2475,6.78,433,323,1,Swift,2442,2464,0.9911
babysor/MockingBird,36878,1675,4.59,82,1,6,Python,415,892,0.4652
drawdb-io/drawdb,36845,967,2.65,351,0,0,JavaScript,215,337,0.638
inkonchain/docs,36820,671,1.84,407,0,5,MDX,13,37,0.3514
PKUanonym/REKCARC-TSC-UHT,36798,2530,6.93,175,0,49,HTML,32,34,0.9412
