owner,repo,class_count,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,lcom_star_mean,lcom_star_median,lcom_star_std,loc_mean,loc_median,loc_std
doocs,advanced-java,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
doocs,leetcode,172,2.662791,2.000000,2.003567,1.005814,1.000000,0.076249,0.430233,0.000000,1.289097,0.248205,0.250000,0.199175,27.720930,24.500000,17.290535
doocs,source-code-hunter,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
dromara,Sa-Token,766,4.408616,3.000000,4.447383,1.220627,1.000000,0.771819,60.101828,0.000000,694.261620,0.199744,0.000000,0.332824,36.429504,16.000000,74.295926
dyc87112,SpringBoot-Learning,269,4.457249,4.000000,2.990506,1.026022,1.000000,0.181390,1.479554,0.000000,7.198450,0.084883,0.000000,0.211594,10.468401,7.000000,8.261352
eclipse-vertx,vert.x,2022,6.641444,4.000000,9.296135,1.601879,1.000000,1.203761,157.442136,1.000000,1612.615707,0.230370,0.000000,0.337447,83.179031,22.000000,273.636346
elastic,logstash,933,5.411576,4.000000,5.899185,1.621651,1.000000,2.119155,21.430868,1.000000,105.782557,0.350366,0.200000,0.376514,47.015005,23.000000,74.802213
elunez,eladmin,282,8.014184,5.000000,7.683217,1.163121,1.000000,0.448392,6.258865,0.000000,19.563575,0.257571,0.000000,0.339389,28.617021,11.000000,49.646818
eugenp,tutorials,24536,4.118153,3.000000,3.994302,1.111673,1.000000,0.422035,5.858249,0.000000,39.997041,0.177228,0.000000,0.279814,22.088564,14.000000,37.238244
facebook,fresco,1001,6.527473,5.000000,6.355902,1.417582,1.000000,0.895238,27.182817,0.000000,120.124309,0.271037,0.000000,0.350645,46.444555,17.000000,69.727263
facebook,stetho,588,4.379252,3.000000,5.372405,1.423469,1.000000,1.248888,7.496599,0.000000,31.248059,0.223941,0.000000,0.313051,32.722789,10.000000,54.820286
forezp,SpringCloudLearning,143,4.615385,4.000000,2.370366,1.048951,1.000000,0.216524,0.601399,0.000000,1.914143,0.087646,0.000000,0.211825,8.006993,5.000000,9.206165
geekxh,hello-algorithm,3,1.333333,1.000000,0.577350,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,25.000000,14.177447
google,ExoPlayer,3281,7.516001,5.000000,8.810218,1.297775,1.000000,1.020831,52.220055,0.000000,493.138640,0.296224,0.000000,0.345968,79.959768,25.000000,207.370774
google,gson,1085,3.024885,2.000000,4.451287,1.284793,1.000000,1.024154,20.725346,0.000000,381.838271,0.104144,0.000000,0.240463,32.105069,8.000000,91.829197
google,guava,5976,4.336680,2.000000,5.858736,1.924699,1.000000,2.485510,52.050703,0.000000,461.583397,0.138288,0.000000,0.277422,42.189090,10.000000,119.909433
google,guice,3886,3.817808,3.000000,5.414481,1.304683,1.000000,1.250509,8.462172,0.000000,77.865147,0.082260,0.000000,0.221073,21.820124,6.000000,73.220555
greenrobot,EventBus,183,3.426230,3.000000,3.065901,1.836066,1.000000,1.424052,9.054645,0.000000,35.082278,0.160402,0.000000,0.291189,28.792350,8.000000,53.034620
greenrobot,greenDAO,364,5.019231,4.000000,4.693018,2.101648,1.000000,1.716264,47.453297,1.000000,241.283427,0.313522,0.000000,0.378664,50.947802,25.000000,73.962354
gyoogle,tech-interview-for-developer,13,1.307692,1.000000,0.751068,1.000000,1.000000,0.000000,0.923077,0.000000,3.040327,0.141758,0.000000,0.224485,48.923077,42.000000,45.567645
halo-dev,halo,1599,7.656035,5.000000,7.266034,1.261413,1.000000,0.661251,7.655410,0.000000,31.409655,0.251132,0.000000,0.322741,35.039400,17.000000,51.611748
hdodenhof,CircleImageView,3,11.000000,5.000000,13.076697,2.333333,2.000000,0.577350,178.666667,0.000000,309.459744,0.308237,0.000000,0.533882,120.000000,12.000000,192.281044
heibaiying,BigData-Notes,77,5.714286,5.000000,3.512598,1.220779,1.000000,0.417492,0.818182,0.000000,1.861856,0.172556,0.000000,0.250306,27.584416,21.000000,29.432506
hollischuang,toBeTopJavaer,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
iBotPeaches,Apktool,167,5.874251,5.000000,5.380889,1.778443,2.000000,1.037845,53.958084,1.000000,295.118934,0.372179,0.333333,0.345999,80.712575,29.000000,124.559325
iluwatar,java-design-patterns,1990,3.367337,3.000000,2.610694,1.195980,1.000000,0.529458,1.827638,0.000000,6.352471,0.122325,0.000000,0.241322,19.081407,11.000000,26.311213
infinilabs,analysis-ik,38,4.815789,4.000000,3.593201,1.368421,1.000000,0.488852,18.368421,2.500000,38.900025,0.433890,0.422222,0.325870,68.947368,33.500000,79.149174
ityouknow,spring-boot-examples,375,4.632000,4.000000,3.064030,1.021333,1.000000,0.144686,4.445333,0.000000,15.115830,0.111877,0.000000,0.245849,13.386667,6.000000,14.423960
janishar,mit-deep-learning-book-pdf,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000
java-decompiler,jd-gui,407,4.538084,3.000000,5.430519,2.417690,1.000000,2.338894,11.115479,1.000000,51.073297,0.243225,0.000000,0.323765,47.442260,17.000000,79.964161
jeecgboot,JeecgBoot,911,7.248079,4.000000,9.410535,1.176729,1.000000,0.447885,55.870472,0.000000,362.763488,0.294412,0.000000,0.359204,60.501647,16.000000,155.648758
jenkinsci,jenkins,4122,6.152111,4.000000,8.114768,1.919214,2.000000,1.749274,46.809801,0.000000,909.974426,0.225012,0.000000,0.325850,44.579088,16.000000,112.503197
justauth,JustAuth,198,5.510101,2.000000,6.031844,1.343434,1.000000,0.581642,12.984848,6.000000,19.531954,0.108245,0.000000,0.265645,30.575758,17.000000,64.976464
kdn251,interviews,257,1.194553,1.000000,1.326226,1.003891,1.000000,0.062378,0.295720,0.000000,0.930233,0.021354,0.000000,0.088183,21.898833,20.000000,10.733157
kekingcn,kkFileView,103,6.805825,5.000000,5.991920,1.077670,1.000000,0.333999,324.941748,0.000000,2944.788989,0.380359,0.416667,0.355179,128.611650,44.000000,409.034977
keycloak,keycloak,9735,6.953467,4.000000,8.363542,1.537031,1.000000,1.015617,71.063688,2.000000,964.954483,0.343564,0.166667,0.370680,59.376066,24.000000,114.910110
krahets,hello-algo,215,1.851163,2.000000,1.496471,1.000000,1.000000,0.000000,4.706977,1.000000,10.457868,0.069539,0.000000,0.176828,35.846512,30.000000,19.956721
kunal-kushwaha,DSA-Bootcamp-Java,253,1.284585,1.000000,1.233639,1.083004,1.000000,0.340733,3.517787,1.000000,11.007424,0.105890,0.000000,0.228751,26.130435,16.000000,31.914487
languagetool-org,languagetool,2623,5.380480,4.000000,6.256538,1.585589,1.000000,0.979293,55.546702,1.000000,404.907495,0.300895,0.000000,0.365096,81.818910,25.000000,317.807815
lenve,vhr,94,4.436170,2.000000,5.843034,1.021277,1.000000,0.145079,48.329787,6.000000,225.794958,0.305970,0.000000,0.367599,31.606383,20.000000,42.230096
lgvalle,Material-Animations,45,4.400000,2.000000,4.058661,1.466667,1.000000,0.756787,4.755556,0.000000,16.107812,0.159621,0.000000,0.300115,22.444444,8.000000,35.280406
libgdx,libgdx,4106,5.112518,3.000000,8.816329,1.783488,1.000000,1.599370,3433.096201,0.000000,144204.933377,0.260206,0.080000,0.316493,71.529956,27.000000,160.146753
linlinjava,litemall,617,4.615883,3.000000,5.849015,1.128039,1.000000,0.334404,1532.884927,1.000000,9402.600398,0.425880,0.500000,0.368075,147.299838,37.000000,320.058836
lionsoul2014,ip2region,48,4.104167,4.000000,2.933588,1.208333,1.000000,0.581939,11.375000,0.000000,34.492444,0.246968,0.000000,0.335611,53.562500,26.500000,60.509857
macrozheng,mall,760,3.969737,3.000000,5.152011,1.239474,1.000000,0.439211,1110.803947,13.000000,8155.555246,0.384627,0.414286,0.387679,132.767105,31.500000,261.201828
macrozheng,mall-learning,248,4.891129,3.000000,4.323020,1.104839,1.000000,0.306965,229.987903,0.000000,1252.933822,0.307979,0.000000,0.373113,57.774194,16.000000,127.634939
macrozheng,mall-swarm,764,3.821990,3.000000,4.926430,1.231675,1.000000,0.434419,1106.229058,13.000000,8134.410503,0.383629,0.400000,0.387481,132.988220,32.000000,260.803127
material-components,material-components-android,2126,7.178269,4.000000,8.360282,1.481656,1.000000,0.892527,93.994356,1.000000,973.582643,0.224145,0.000000,0.337571,56.686265,14.000000,146.324210
metersphere,metersphere,3702,6.703944,3.000000,11.463716,1.296867,1.000000,0.542380,446.239600,0.000000,3759.163554,0.355799,0.000000,0.382064,86.967585,15.000000,205.339254
microg,GmsCore,1999,6.042021,5.000000,4.958005,1.732366,2.000000,0.895941,13.877439,0.000000,67.084139,0.335407,0.333333,0.345265,29.301151,13.000000,52.436284
mockito,mockito,2128,3.384868,2.000000,4.431042,1.395677,1.000000,1.076492,19.063440,0.000000,278.749780,0.132644,0.000000,0.264349,24.995301,8.000000,49.054070
mybatis,mybatis-3,1756,3.568337,2.000000,4.997139,1.238041,1.000000,0.779546,21.271071,0.000000,249.078254,0.240423,0.000000,0.324010,34.776196,16.000000,71.683814
netty,netty,7830,4.456066,3.000000,5.837721,1.535504,1.000000,1.223708,69.039591,0.000000,1152.705255,0.192236,0.000000,0.325081,49.688889,12.000000,140.730027
nostra13,Android-Universal-Image-Loader,140,4.864286,3.000000,4.877213,1.585714,1.000000,0.959509,28.842857,0.500000,99.818992,0.330073,0.133333,0.368046,53.100000,28.500000,91.295339
opensearch-project,OpenSearch,19775,7.456131,5.000000,9.973394,1.709987,1.000000,1.473095,39.458963,1.000000,449.866088,0.236584,0.000000,0.319819,67.680101,24.000000,147.459025
orhanobut,logger,18,5.833333,6.000000,3.053445,1.166667,1.000000,0.383482,14.944444,0.000000,35.586634,0.312586,0.125000,0.371234,45.944444,36.000000,44.305719
pagehelper-org,Mybatis-PageHelper,184,5.826087,6.000000,4.920368,1.456522,1.000000,0.860970,29.391304,0.000000,189.822722,0.136138,0.000000,0.291658,40.619565,23.000000,55.521638
pinpoint-apm,pinpoint,9205,5.253775,4.000000,5.817924,1.138620,1.000000,0.491687,11.762086,0.000000,89.619260,0.242146,0.000000,0.312985,31.605215,18.000000,46.447591
plantuml,plantuml,4160,7.246154,5.000000,7.501478,1.519952,1.000000,0.868118,36.290625,1.000000,607.373626,0.274997,0.000000,0.333666,48.222115,22.000000,94.135845
prestodb,presto,9328,9.235849,6.000000,13.136177,1.379181,1.000000,0.929591,94.668846,1.000000,1827.653243,0.308602,0.200000,0.337169,64.287307,27.000000,135.024368
proxyee-down-org,proxyee-down,60,5.516667,4.000000,6.223225,1.466667,1.000000,0.929127,19.516667,2.000000,49.728583,0.387058,0.400000,0.378178,56.533333,36.500000,62.740106
pxb1988,dex2jar,571,5.430823,3.000000,6.860262,1.570928,1.000000,0.982190,21.133100,0.000000,136.513850,0.205715,0.000000,0.315626,73.056042,22.000000,158.314024
qiurunze123,miaosha,286,4.146853,3.000000,4.539817,1.125874,1.000000,0.390540,14.300699,0.000000,85.543713,0.314839,0.000000,0.361770,30.003497,13.000000,73.645500
quarkusio,quarkus,32774,5.183194,4.000000,6.386178,1.220754,1.000000,0.642997,53.480625,0.000000,6230.871130,0.225696,0.000000,0.342306,28.945231,11.000000,72.860191
redis,jedis,1448,5.721685,3.000000,8.720367,1.397790,1.000000,0.830014,460.810083,1.000000,13684.387268,0.231005,0.000000,0.329820,87.401243,26.000000,241.160919
redisson,redisson,3019,5.725075,3.000000,10.415042,1.321961,1.000000,0.724707,172.462074,0.000000,1571.460000,0.178109,0.000000,0.304953,57.947334,14.000000,153.890118
scwang90,SmartRefreshLayout,341,6.651026,3.000000,7.591302,1.507331,1.000000,0.849276,30.319648,0.000000,295.047405,0.176396,0.000000,0.298809,53.211144,12.000000,154.997825
seaswalker,spring-analysis,33,2.424242,2.000000,2.646109,1.242424,1.000000,0.751262,1.787879,0.000000,3.189412,0.094949,0.000000,0.213878,11.454545,8.000000,7.902100
shuzheng,zheng,509,4.530452,3.000000,5.718250,1.408644,1.000000,0.492067,340.856582,0.000000,1786.342918,0.358022,0.000000,0.381691,82.007859,16.000000,154.782728
skylot,jadx,3081,4.370010,3.000000,6.535870,1.586498,1.000000,1.184751,32.295683,0.000000,317.301824,0.221995,0.000000,0.331238,44.909770,18.000000,95.254309
spring-projects,spring-boot,13945,5.496594,4.000000,6.411083,1.288275,1.000000,0.771569,12.936393,0.000000,108.323192,0.161767,0.000000,0.280177,29.446827,11.000000,61.816382
spring-projects,spring-framework,18767,5.235999,3.000000,6.801739,1.475622,1.000000,1.522656,29.510257,0.000000,274.178595,0.180558,0.000000,0.300330,41.133319,12.000000,105.538630
sqshq,piggymetrics,99,6.040404,5.000000,4.342291,1.060606,1.000000,0.239821,3.828283,0.000000,10.079318,0.227391,0.000000,0.297139,19.000000,11.000000,20.054009
supertokens,supertokens-core,1019,11.263003,10.000000,11.545056,1.325810,1.000000,0.927548,73.698724,3.000000,1245.966849,0.583034,0.790293,0.450882,110.921492,47.000000,177.070296
termux,termux-app,321,5.912773,4.000000,7.187132,1.429907,1.000000,0.704168,60.825545,0.000000,236.371240,0.354017,0.117647,0.382323,76.520249,31.000000,153.468891
theonedev,onedev,8426,5.807975,4.000000,8.941374,1.383575,1.000000,0.772854,26.847733,0.000000,521.807482,0.229970,0.000000,0.361502,40.242820,14.000000,177.638428
tink-crypto,tink,1465,7.588396,5.000000,7.236859,1.291468,1.000000,1.244261,30.075768,1.000000,184.046454,0.337687,0.214286,0.361356,56.082594,30.000000,78.786107
trinodb,trino,14588,8.647176,6.000000,12.634108,1.346860,1.000000,0.983336,93.333013,1.000000,1384.991829,0.288995,0.000000,0.335571,61.414382,25.000000,147.922184
williamfiset,Algorithms,450,2.722222,3.000000,1.771010,1.055556,1.000000,0.229316,23.853333,3.000000,72.625566,0.309176,0.222222,0.333170,72.784444,50.000000,72.815600
winterbe,java8-tutorial,88,1.034091,1.000000,1.044403,1.000000,1.000000,0.000000,3.909091,0.000000,9.327547,0.084407,0.000000,0.205808,23.647727,19.000000,20.013237
wuyouzhuguli,SpringAll,373,5.235925,4.000000,4.229708,1.115282,1.000000,0.374032,3.793566,0.000000,12.022951,0.230361,0.000000,0.324055,16.286863,11.000000,14.526608
xkcoding,spring-boot-demo,482,5.051867,4.000000,4.002001,1.130705,1.000000,0.488465,2.321577,0.000000,9.814830,0.106644,0.000000,0.237418,14.860996,7.000000,19.358941
xpipe-io,xpipe,1662,7.199759,5.000000,6.900762,1.815283,1.000000,1.647484,19.926594,1.000000,177.405092,0.176851,0.000000,0.302788,44.057160,21.000000,69.710002
xuxueli,xxl-job,172,4.988372,3.000000,5.602828,1.156977,1.000000,0.410118,24.453488,0.000000,101.974444,0.302064,0.000000,0.341221,50.947674,25.500000,100.643210
youth5201314,banner,73,6.082192,5.000000,6.157095,1.835616,2.000000,0.687461,47.684932,1.000000,350.898762,0.260988,0.000000,0.313468,37.315068,20.000000,79.320180
yudaocode,SpringBoot-Labs,1462,4.317373,4.000000,2.976147,1.054036,1.000000,0.272805,1.406977,0.000000,6.675978,0.137345,0.000000,0.254124,12.097127,9.000000,10.267744
yuliskov,SmartTube,3288,6.615268,4.000000,8.051899,1.548966,1.000000,1.453688,66.350061,1.000000,457.217391,0.316993,0.000000,0.365333,74.241484,21.000000,153.749475
zaproxy,zaproxy,2385,4.746751,3.000000,5.852315,1.970650,1.000000,1.933885,70.919916,1.000000,358.624969,0.412004,0.428571,0.397129,71.864570,24.000000,138.394939
zhihu,Matisse,76,6.657895,5.000000,7.383861,1.394737,1.000000,0.634118,8.078947,0.000000,16.138371,0.301962,0.000000,0.355650,44.973684,20.000000,58.974791
zhisheng17,flink-learning,661,4.334342,3.000000,4.365691,1.143722,1.000000,0.376077,3.022693,0.000000,17.520060,0.189140,0.000000,0.316019,23.947050,14.000000,32.842396
zxing,zxing,597,4.991625,4.000000,4.806134,1.686767,2.000000,0.794724,22.887772,0.000000,130.646993,0.330627,0.250000,0.349895,67.301508,31.000000,93.174799
